Entity,Code,Year,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2023
Albania,ALB,47,,,,,,0.033794,0.033362,0.020206,0.004428,0.001447,0.000357,0.000449,0.000265,0.00037
Albania,ALB,48,,,,,,0.025894,0.025464,0.01454,0.002448,0.000775,0.000146,0.000439,0.000132,0.000317
Albania,ALB,49,,,,,,0.017458,0.013697,0.011529,0.002577,0.000816,0.000373,0.000408,0.000171,0.00023
Algeria,DZA,15,,,,,,0.029302,0.029913,0.030604,0.015866,0.003218,0.00047,0.000069,0.001212,0.001183
Algeria,DZA,16,,,,,,0.059049,0.060429,0.061988,0.03512,0.008079,0.001689,0.000806,0.003457,0.003319
Algeria,DZA,17,,,,,,0.100609,0.103066,0.105843,0.065069,0.018717,0.005517,0.004937,0.007549,0.006965
Algeria,DZA,18,,,,,,0.151715,0.155484,0.159747,0.105174,0.035945,0.0126,0.013265,0.014067,0.012646
Algeria,DZA,19,,,,,,0.202315,0.207339,0.21302,0.150931,0.06023,0.023998,0.026602,0.024909,0.022279
Algeria,DZA,20,,,,,,0.248825,0.254951,0.261879,0.200111,0.090777,0.03968,0.044691,0.04071,0.03657
Algeria,DZA,21,,,,,,0.285439,0.29242,0.300314,0.248086,0.122587,0.057586,0.063316,0.062341,0.056787
Algeria,DZA,22,,,,,,0.311154,0.318727,0.32729,0.292128,0.153567,0.076618,0.081321,0.088435,0.081688
Algeria,DZA,23,,,,,,0.327295,0.335243,0.34423,0.325432,0.178735,0.093396,0.096255,0.112079,0.104599
Algeria,DZA,24,,,,,,0.334895,0.343029,0.352226,0.34637,0.197116,0.107184,0.107938,0.131385,0.123655
Algeria,DZA,25,,,,,,0.337134,0.345333,0.354604,0.35492,0.209433,0.118102,0.117869,0.145144,0.137498
Algeria,DZA,26,,,,,,0.335582,0.343758,0.353003,0.351756,0.21643,0.126458,0.126992,0.153293,0.145963
Algeria,DZA,27,,,,,,0.333419,0.341554,0.350753,0.34334,0.220979,0.133327,0.136216,0.158622,0.151539
Algeria,DZA,28,,,,,,0.331243,0.339332,0.348479,0.331581,0.223747,0.138825,0.145443,0.161682,0.154714
Algeria,DZA,29,,,,,,0.328455,0.336476,0.345547,0.31872,0.224828,0.142387,0.153177,0.162272,0.15531
Algeria,DZA,30,,,,,,0.324749,0.332674,0.341636,0.304892,0.223946,0.143743,0.159099,0.160037,0.153004
Algeria,DZA,31,,,,,,0.320177,0.327986,0.336816,0.294812,0.222206,0.143175,0.162144,0.157442,0.150188
Algeria,DZA,32,,,,,,0.314549,0.322217,0.330889,0.288188,0.219579,0.140826,0.162437,0.154577,0.146984
Algeria,DZA,33,,,,,,0.307783,0.315285,0.323768,0.285564,0.217246,0.137927,0.160461,0.15323,0.145213
Algeria,DZA,34,,,,,,0.299432,0.30673,0.314982,0.285446,0.214637,0.134311,0.15621,0.152676,0.144216
Algeria,DZA,35,,,,,,0.288,0.29502,0.302958,0.282778,0.209026,0.128451,0.148945,0.149349,0.140624
Algeria,DZA,36,,,,,,0.272409,0.27905,0.286559,0.272005,0.197974,0.119332,0.139323,0.139729,0.131112
Algeria,DZA,37,,,,,,0.253681,0.259867,0.266862,0.256368,0.184029,0.1089,0.128399,0.127757,0.119477
Algeria,DZA,38,,,,,,0.232056,0.237716,0.244117,0.236088,0.167558,0.097457,0.116455,0.113824,0.106099
Algeria,DZA,39,,,,,,0.207957,0.213029,0.218766,0.210995,0.148601,0.084858,0.103438,0.097183,0.090242
Algeria,DZA,40,,,,,,0.181147,0.185564,0.19056,0.178969,0.126164,0.070693,0.090028,0.076365,0.070498
Algeria,DZA,41,,,,,,0.15258,0.1563,0.160507,0.149195,0.104629,0.057222,0.074368,0.059089,0.054255
Algeria,DZA,42,,,,,,0.122716,0.125708,0.129092,0.119785,0.083276,0.044224,0.057728,0.043707,0.039909
Algeria,DZA,43,,,,,,0.095281,0.097604,0.100232,0.093602,0.064346,0.032882,0.042126,0.030907,0.028052
Algeria,DZA,44,,,,,,0.071343,0.073082,0.075048,0.071389,0.048385,0.023488,0.028251,0.020839,0.018802
Algeria,DZA,45,,,,,,0.052108,0.05338,0.054818,0.056275,0.036771,0.01634,0.014407,0.014492,0.013069
Algeria,DZA,46,,,,,,0.037131,0.038036,0.039059,0.042021,0.026691,0.01094,0.007527,0.009274,0.008332
Algeria,DZA,47,,,,,,0.026261,0.0269,0.027623,0.031464,0.019369,0.00722,0.003162,0.005808,0.005195
Algeria,DZA,48,,,,,,0.018754,0.019211,0.019728,0.023696,0.014233,0.00488,0.001067,0.003689,0.003278
Algeria,DZA,49,,,,,,0.011823,0.012112,0.012439,0.015537,0.009186,0.002937,0.000144,0.002072,0.00183
American Samoa,ASM,15,,,,,,0.004775,0.005157,0.003685,0.00469,0.006274,0.007369,0.004412,0.006938,0.006932
American Samoa,ASM,16,,,,,,0.015109,0.014828,0.012038,0.013169,0.017085,0.018993,0.012607,0.016275,0.01611
American Samoa,ASM,17,,,,,,0.043462,0.041077,0.036994,0.030666,0.040728,0.041586,0.029558,0.031613,0.030971
American Samoa,ASM,18,,,,,,0.090904,0.085091,0.07984,0.057569,0.077176,0.07465,0.055116,0.05202,0.050575
American Samoa,ASM,19,,,,,,0.150641,0.14166,0.135109,0.091276,0.119544,0.111064,0.084415,0.071787,0.069377
American Samoa,ASM,20,,,,,,0.218172,0.206454,0.198488,0.129844,0.164144,0.147624,0.115113,0.08881,0.085369
American Samoa,ASM,21,,,,,,0.279921,0.263155,0.254106,0.167013,0.20102,0.177312,0.141739,0.099147,0.094873
American Samoa,ASM,22,,,,,,0.331447,0.308164,0.298011,0.200886,0.228455,0.198936,0.163026,0.102902,0.098049
American Samoa,ASM,23,,,,,,0.366354,0.340075,0.326892,0.229136,0.248355,0.21424,0.178837,0.104154,0.098945
American Samoa,ASM,24,,,,,,0.383255,0.35902,0.340475,0.25097,0.261318,0.223786,0.189189,0.104388,0.09904
American Samoa,ASM,25,,,,,,0.382939,0.366904,0.340951,0.265216,0.267984,0.228269,0.194307,0.105888,0.100608
American Samoa,ASM,26,,,,,,0.36698,0.365495,0.330417,0.271951,0.269163,0.228421,0.194751,0.109534,0.104504
American Samoa,ASM,27,,,,,,0.346908,0.3598,0.316819,0.272413,0.266783,0.226329,0.192933,0.114943,0.110246
American Samoa,ASM,28,,,,,,0.325445,0.35109,0.302119,0.267221,0.261241,0.222298,0.18928,0.121526,0.117219
American Samoa,ASM,29,,,,,,0.303529,0.339877,0.287088,0.257826,0.252254,0.215539,0.183273,0.126895,0.123003
American Samoa,ASM,30,,,,,,0.280185,0.326269,0.271584,0.245129,0.239994,0.205922,0.174759,0.13052,0.127057
American Samoa,ASM,31,,,,,,0.26174,0.311341,0.258555,0.230548,0.224532,0.193722,0.164657,0.129911,0.12684
American Samoa,ASM,32,,,,,,0.247724,0.295476,0.247898,0.214877,0.206591,0.179438,0.153332,0.125304,0.12258
American Samoa,ASM,33,,,,,,0.241914,0.280431,0.24072,0.199063,0.188281,0.165053,0.14258,0.117726,0.115293
American Samoa,ASM,34,,,,,,0.242095,0.265877,0.235823,0.183332,0.169929,0.150688,0.132293,0.107676,0.105487
American Samoa,ASM,35,,,,,,0.23934,0.249145,0.228489,0.167132,0.150709,0.135138,0.120735,0.095829,0.093868
American Samoa,ASM,36,,,,,,0.222095,0.228764,0.214294,0.151806,0.131118,0.117938,0.106631,0.083769,0.08204
American Samoa,ASM,37,,,,,,0.199728,0.206867,0.196888,0.136889,0.112362,0.101032,0.092303,0.072072,0.07057
American Samoa,ASM,38,,,,,,0.172975,0.183795,0.176586,0.122407,0.094703,0.084717,0.078034,0.061024,0.059743
American Samoa,ASM,39,,,,,,0.140437,0.159481,0.152857,0.108263,0.077909,0.068614,0.063339,0.050738,0.049683
American Samoa,ASM,40,,,,,,0.096179,0.133542,0.124148,0.095578,0.062242,0.052512,0.047684,0.041805,0.040974
American Samoa,ASM,41,,,,,,0.067882,0.108367,0.098805,0.079845,0.047436,0.03862,0.03476,0.032466,0.031833
American Samoa,ASM,42,,,,,,0.046832,0.083958,0.075242,0.062881,0.034046,0.026727,0.023875,0.023598,0.023136
American Samoa,ASM,43,,,,,,0.032194,0.062441,0.054883,0.046716,0.022853,0.017003,0.014999,0.015946,0.015659
American Samoa,ASM,44,,,,,,0.023312,0.044403,0.038147,0.032098,0.014019,0.009519,0.008178,0.009704,0.009587
American Samoa,ASM,45,,,,,,0.023314,0.030403,0.026635,0.017772,0.006209,0.00316,0.002779,0.002483,0.00257
